Category,Tile Name,Size,Price
Room Tiles,OHG Brown 3D Square HL,MRP  ₹ 70 /- Sq.ft,Size 300x450 mm ft
,OHG Blue 3D Square HL,MRP  ₹ 70 /- Sq.ft,Size 300x450 mm ft
,DR Matte Statuario Marmi Marble,MRP  ₹ 126 /- Sq.ft,Size 600x1200 mm ft
,DR Matte Endless Canova Statuario,MRP  ₹ 126 /- Sq.ft,Size 600x1200 mm ft
,DR Matte Amazonite Aqua Marble,MRP  ₹ 126 /- Sq.ft,Size 600x1200 mm ft
,DR Matte Onyx Cloudy Blue Marble,MRP  ₹ 126 /- Sq.ft,Size 600x1200 mm ft
,DR Matte Antique Riano Blue LT,MRP  ₹ 126 /- Sq.ft,Size 600x1200 mm ft
,DR Matte Breccia Blue Gold Vein,MRP  ₹ 126 /- Sq.ft,Size 600x1200 mm ft
,DR Natural Rotowood Silver,MRP  ₹ 126 /- Sq.ft,Size 600x1200 mm ft
,DR Natural Rotowood Creama,MRP  ₹ 126 /- Sq.ft,Size 600x1200 mm ft
,DR Natural Rotowood Copper,MRP  ₹ 126 /- Sq.ft,Size 600x1200 mm ft
,DR Natural Rotowood Brown,MRP  ₹ 126 /- Sq.ft,Size 600x1200 mm ft
,DR Natural Rotowood Beige,MRP  ₹ 126 /- Sq.ft,Size 600x1200 mm ft
,DR Rustica Natural Stone Cotto,MRP  ₹ 126 /- Sq.ft,Size 600x1200 mm ft
,DR Rustica Decor Cloudy Moroccan Art,MRP  ₹ 126 /- Sq.ft,Size 600x1200 mm ft
,DR Rustica Foggy Smoke,MRP  ₹ 126 /- Sq.ft,Size 600x1200 mm ft
,DR Linea Decor Travertine Moroccan,MRP  ₹ 126 /- Sq.ft,Size 600x1200 mm ft
,DR Linea Statuario Gold Vein,MRP  ₹ 126 /- Sq.ft,Size 600x1200 mm ft
,DR Matte Classic Travertine Golden,MRP  ₹ 126 /- Sq.ft,Size 600x1200 mm ft
,DR Matte Coquina Sand Ivory,MRP  ₹ 126 /- Sq.ft,Size 600x1200 mm ft
,DR Matte Coquina Sand Creama,MRP  ₹ 126 /- Sq.ft,Size 600x1200 mm ft
,DR Matte Plain White,MRP  ₹ 126 /- Sq.ft,Size 600x1200 mm ft
,DR Carving Colour Antique Vein Riano,MRP  ₹ 133 /- Sq.ft,Size 600x1200 mm ft
,DR Carving Colour Calacutta Marble,MRP  ₹ 133 /- Sq.ft,Size 600x1200 mm ft
,DR Carving Decor Autumn Multi Leaf,MRP  ₹ 133 /- Sq.ft,Size 600x1200 mm ft
,,,
Cool Tiles,Mosaic Cool Blue,MRP  ₹ 77 /- Sq.ft,Size 300x300 mm ft
,PAV Cool Tile Grey,MRP  ₹ 77 /- Sq.ft,Size 300x300 mm ft
,PAV Cool Tile Blue,MRP  ₹ 77 /- Sq.ft,Size 300x300 mm ft
,OPV Orient EC Cool Tiles,MRP  ₹ 96 /- Sq.ft,Size 300x300 mm ft
,Hulk Cool White,MRP  ₹ 77 /- Sq.ft,Size 300x300 mm ft
,PAV Cool Tile White,MRP  ₹ 77 /- Sq.ft,Size 300x300 mm ft
,,,
Ceramic Tiles,ODG Brown Vintage Floral Brick,MRP  ₹ 70 /- Sq.ft,Size 300x450 mm ft
,OHG Vintage Lily Brick HL,MRP  ₹ 70 /- Sq.ft,Size 300x450 mm ft
,ODG Beige Vintage Floral Brick,MRP  ₹ 70 /- Sq.ft,Size 300x450 mm ft
,ODG Beige DK Breccia Marble,MRP  ₹ 70 /- Sq.ft,Size 300x450 mm ft
,OHG Breccia Bluebell Flower HL,MRP  ₹ 70 /- Sq.ft,Size 300x450 mm ft
,ODG Beige LT Breccia Marble,MRP  ₹ 70 /- Sq.ft,Size 300x450 mm ft
,OHG Brown 3D Square HL,MRP  ₹ 70 /- Sq.ft,Size 300x450 mm ft
,OHG Blue 3D Square HL,MRP  ₹ 70 /- Sq.ft,Size 300x450 mm ft
,OHG Sea Goldfish Drops HL,MRP  ₹ 70 /- Sq.ft,Size 300x450 mm ft
,OHG Green Flower Water Drops HL,MRP  ₹ 70 /- Sq.ft,Size 300x450 mm ft
,OHG Geometric Sandstorm Mosaic HL,MRP  ₹ 70 /- Sq.ft,Size false ft
,OHG Mosaic Swastik HL,MRP  ₹ 70 /- Sq.ft,Size 300x450 mm ft
,OHG Mosaic Kalash HL,MRP  ₹ 70 /- Sq.ft,Size 300x450 mm ft
,OHG Mosaic Lord Ganesha HL,MRP  ₹ 70 /- Sq.ft,Size 300x450 mm ft
,OHG Damask Flower Leaf HL,MRP  ₹ 70 /- Sq.ft,Size 300x450 mm ft
,ODG White Herringbone,MRP  ₹ 70 /- Sq.ft,Size 300x450 mm ft
,TL Almond Terrazzo,MRP  ₹ 94 /- Sq.ft,Size 400x400 mm ft
,TL Camel Brick Emboss Art,MRP  ₹ 94 /- Sq.ft,Size 400x400 mm ft
,TL Multi Terrazzo Modern Inlay,MRP  ₹ 94 /- Sq.ft,Size 400x400 mm ft
,TL Jungi Cotto Modern Inlay,MRP  ₹ 94 /- Sq.ft,Size 400x400 mm ft
,TL Warm Grey Pinwheel Ornamental,MRP  ₹ 94 /- Sq.ft,Size 400x400 mm ft
,TL Ash Pinwheel Petal,MRP  ₹ 94 /- Sq.ft,Size 400x400 mm ft
,TL Grey Pinwheel Autumn Leaf,MRP  ₹ 94 /- Sq.ft,Size 400x400 mm ft
,TL Jungi Hexa Brick,MRP  ₹ 94 /- Sq.ft,Size 400x400 mm ft
,TL Multi Beige Hexa Brick Moroccan,MRP  ₹ 94 /- Sq.ft,Size 400x400 mm ft
,,,
Large Tiles,Step Sahara Golden,MRP  ₹ 173 /- Sq.ft,Size 300x1200 mm ft
,Step Sahara Grainy Choco,MRP  ₹ 173 /- Sq.ft,Size 300x1200 mm ft
,Step Sahara Dove Grey,MRP  ₹ 173 /- Sq.ft,Size 300x1200 mm ft
,Step Sahara Carbon,MRP  ₹ 185 /- Sq.ft,Size 300x1200 mm ft
,Step Sahara Choco,MRP  ₹ 185 /- Sq.ft,Size 300x1200 mm ft
,Step Sahara Ash,MRP  ₹ 173 /- Sq.ft,Size 300x1200 mm ft
,Step Sahara Off White,MRP  ₹ 185 /- Sq.ft,Size 300x1200 mm ft
,DR Matte Statuario Marmi Marble,MRP  ₹ 126 /- Sq.ft,Size 600x1200 mm ft
,DR Matte Endless Canova Statuario,MRP  ₹ 126 /- Sq.ft,Size 600x1200 mm ft
,DR Matte Amazonite Aqua Marble,MRP  ₹ 126 /- Sq.ft,Size 600x1200 mm ft
,DR Matte Onyx Cloudy Blue Marble,MRP  ₹ 126 /- Sq.ft,Size 600x1200 mm ft
,DR Matte Antique Riano Blue LT,MRP  ₹ 126 /- Sq.ft,Size 600x1200 mm ft
,DR Matte Breccia Blue Gold Vein,MRP  ₹ 126 /- Sq.ft,Size 600x1200 mm ft
,DR Natural Rotowood Silver,MRP  ₹ 126 /- Sq.ft,Size 600x1200 mm ft
,DR Natural Rotowood Creama,MRP  ₹ 126 /- Sq.ft,Size 600x1200 mm ft
,DR Natural Rotowood Copper,MRP  ₹ 126 /- Sq.ft,Size 600x1200 mm ft
,DR Natural Rotowood Brown,MRP  ₹ 126 /- Sq.ft,Size 600x1200 mm ft
,DR Natural Rotowood Beige,MRP  ₹ 126 /- Sq.ft,Size 600x1200 mm ft
,DR Rustica Natural Stone Cotto,MRP  ₹ 126 /- Sq.ft,Size 600x1200 mm ft
,DR Rustica Decor Cloudy Moroccan Art,MRP  ₹ 126 /- Sq.ft,Size 600x1200 mm ft
,DR Rustica Foggy Smoke,MRP  ₹ 126 /- Sq.ft,Size 600x1200 mm ft
,DR Linea Decor Travertine Moroccan,MRP  ₹ 126 /- Sq.ft,Size 600x1200 mm ft
,DR Linea Statuario Gold Vein,MRP  ₹ 126 /- Sq.ft,Size 600x1200 mm ft
,DR Matte Classic Travertine Golden,MRP  ₹ 126 /- Sq.ft,Size 600x1200 mm ft
,DR Matte Coquina Sand Ivory,MRP  ₹ 126 /- Sq.ft,Size 600x1200 mm ft
