id,description,name,material,finish,size,price,price_unit,design_types,applications,quantity_per_box,area_per_box,area_unit,faces,origin,laying_patterns,product_url,image_url,last_updated,image_path
pgvt-atlantis-beige,"PGVT Atlantis Beige is a printed double charge tile with marble design It features a glossy finish in 600x1200 mm size Manufactured with state-of-the-art technology Atlantis Beige reflects the sheen of marble and qualities of vitrified tiles making it both durable and versatile. PGVT Tiles have glazed surface, polished to give glossy look. PGVT Tiles come in wide variety of colors and designs. These tiles are best suited hotel lobbies, halls, offices, and living areas. Atlantis Beige is a neutral color with a marble look, which elegantly covers the surface of your floors. This color is soothing and always in-trend which can be accentuated with all kinds of accessories and furnishings. Most suitable for bedroom, living room and office spaces. The look of the tiles becomes better when used right kind of lights that will reflect on the floor.",PGVT Atlantis Beige,Printed Double Charge,Glossy Finish,600x1200 mm,145.0,sq.ft,Marble,"Bathroom, Living Room, Kitchen, Bedroom, Commercial, Accent, Office, Bar, Restaurant, Hospital, High Traffic, Bar/Restaurant, Commercial/Office",2,0.0,sq Decimeter,4,India,"Basketweave Pattern, Brick Pattern, Straight Pattern, Versailles Pattern",https://www.orientbell.com/pgvt-atlantis-beige-025514961540218441m,https://images.orientbell.com/media/catalog/product/p/g/pgvt-atlantis-beige-f.jpg,2025-01-03 00:25:05,../Backend/images_final/pgvt_atlantis_beige.jpg
dgvt-jungi-cotto,"DGVT Jungi Cotto is a vitrified , digital glazed vitrified tiles , glazed vitrified tiles tile with cement design It features a matte finish in 600x600 mm size Terracotta shades never goes out of fashion, and if they come in a variant that ticks all your boxes like; easy maintenance, comes in your favorite shade, classic, strong and durable. Jungi Cotto is a DGVT tile, which means they are passed through a press twice which enables the pattern with double layered pigment. This could be 3 to 4 mm thicker than regular tiles in the market. The thickness results in stronger and even durable tiles. Give a rustic, colonial feel to your living spaces with Jungi Cotto. This variant of terracotta colour will make your space look cosy and inviting. These terracotta coloured tiles makes for a great option to accentuate your space with minimal efforts.",DGVT Jungi Cotto,"Vitrified , Digital Glazed Vitrified Tiles , Glazed Vitrified Tiles",Matte Finish,600x600 mm,104.0,sq.ft,Cement,"Bedroom, Balcony, Accent, Hospital, High Traffic, Bar/Restaurant, Commercial/Office, Outdoor Area",4,1.44,sq Decimeter,4,India,"Straight Pattern, Versailles Pattern",https://www.orientbell.com/dgvt-jungi-cotto-025606656630295361m,https://images.orientbell.com/media/catalog/product/d/g/dgvt-jungi-cotto-living-room-6060-cm.jpg,2025-01-03 00:25:08,../Backend/images_final/dgvt_jungi_cotto.jpg
dgvt-rio-wood,"DGVT Rio Wood is a vitrified , digital glazed vitrified tiles , glazed vitrified tiles tile with wooden design It features a matte finish in 600x600 mm size Wooden floors are timeless, kind of classics that never go out of trends. Rio wood is one most loved shade of wood which adorns the floor beautifully. It accentuates the look of any space; be it residential or commercial. The best part about these wooden tiles; they look exactly wooden flooring but comes with almost zero maintenance unlike wooden floorings. The DGVT tiles are slip-resistant and frost resistant and comes in various finishes. These generally have less water absorption which consequentially makes them moisture resistant hence, preventing penetration of bacteria and fungi. They are easy to maintain and easy to clean making them a great choice for homes as well as commercial spaces.",DGVT Rio Wood,"Vitrified , Digital Glazed Vitrified Tiles , Glazed Vitrified Tiles",Matte Finish,600x600 mm,104.0,sq.ft,Wooden,"Bathroom, Living Room, Kitchen, Bedroom, Balcony, Outdoor, Office, Dining Room, Bar, Restaurant, Hospital, High Traffic, Bar/Restaurant, Commercial/Office, Outdoor Area",4,1.44,sq Decimeter,2,India,"Straight Pattern, Versailles Pattern",https://www.orientbell.com/dgvt-rio-wood-025606656690566361m,https://images.orientbell.com/media/catalog/product/d/g/dgvt-rio-wood-living-room-60x60-cm.jpg,2025-01-03 00:25:15,../Backend/images_final/dgvt_rio_wood.jpg
plain-ocean-blue,"Plain Ocean Blue is a ceramic tile with plain design It features a glossy finish in 200x300 mm size If you do not want to go overboard with your choices in terms of colorful patterns or prints, you can always rely on these plain ocean blue tiles. Though softer hues like ivory, beige, and white have been dominating the bathroom and kitchen spaces for years, shades of blue are among the latest tile trends that have gained immense popularity in recent years. The glossy finish and fine color of these tiles can impart a “classy’ and luxurious look to your bathrooms and kitchen. They are ceramic-based tiles, and hence are very durable and easy to install. They can beautify your spaces for years to come without the need of spending extra money on their maintenance. Plain Ocean Blue ceramic tiles are also resistant to scratches or stains and can be cleaned easily. Mopping with a clean cloth or sponge can leave them gleaming like new. They also prevent the walls against water damage and inhibit the growth of microorganisms, which is why they are a healthier and safer option for the wet areas of your home.",Plain Ocean Blue,Ceramic,Glossy Finish,200x300 mm,59.0,sq.ft,Plain,"Bathroom, Kitchen",15,90.0,sq Decimeter,0,India,"Brick Pattern, Straight Pattern",https://www.orientbell.com/plain-ocean-blue-010104509980426101m,https://images.orientbell.com/media/catalog/product/p/l/plain-white-plain-ocean-blue-bathroom-20x30-cm_2.jpg,2025-01-03 00:31:48,../Backend/images_final/plain_ocean_blue.jpg
craft-grey,"Craft Grey is a ceramic tile with texture design It features a glossy finish in 200x300 mm size To add elegance along with a hint of artistic style in your homes, Craft Grey ceramic tiles are one of the most favored options. The gorgeous design and glossy finish of these tiles make it a perfect choice for the walls of your kitchen and bathrooms. These tiles protect your walls from water damage and stubborn scratches or stains. Craft Grey ceramic tiles are easy to install and maintain. Besides, regular cleaning or mopping, there is no need for any special maintenance. Not only are these tiles waterproof and scratch-resistant, but they are exceptionally hygienic as well. Walls covered with ceramic tiles do not hold onto dust and allergens and make the household environment much healthier and safer for kids, elderly people, and pets. Enjoy classical styling with an artistic twist with the range of Craft Grey ceramic tiles that will keep adding to the beauty of your home for a lifetime.",Craft Grey,Ceramic,Glossy Finish,200x300 mm,35.0,sq.ft,Texture,"Bathroom, Kitchen",15,90.0,sq Decimeter,1,India,"Brick Pattern, Straight Pattern",https://www.orientbell.com/craft-grey-010104517440335101w,https://images.orientbell.com/media/catalog/product/c/r/craft_grey_20_30_glossy_obl_premium.jpg,2025-01-03 00:25:30,../Backend/images_final/craft_grey.jpg
dgvt-poplar-beige,"DGVT Poplar Beige is a vitrified , digital glazed vitrified tiles , glazed vitrified tiles tile with wooden design It features a matte finish in 145x600 mm size Shades of wood never goes out of trend, what is best about them is that the designs and patterns keep evolving widening options and choices. These evolving patterns and colors of wooden shades is possible only with tiles. Let your dream home speak of your style with DGVT Poplar Beige. The wooden planks can be laid in multiple patterns to give distinct look to your spaces. The DGVT body gives you exact look of wood but makes it easy on maintenance, lasts longer than actual wooden flooring. The beige color is an offbeat choice which subtly gives your space a contemporary look and vibe. Poplar beige can be laid as is or in diagonal pattern of your living rooms, chimney areas, office receptions, foyers and offices. These wooden tiles are easy to clean and can be mopped daily unlike actual wooden flooring making them a great choice for Indian homes.",DGVT Poplar Beige,"Vitrified , Digital Glazed Vitrified Tiles , Glazed Vitrified Tiles",Matte Finish,145x600 mm,119.0,sq.ft,Wooden,"Bedroom, Balcony, Accent, Restaurant, High Traffic, Commercial/Office, Outdoor Area",8,69.6,sq Decimeter,4,India,"Basketweave Pattern, Brick Pattern, Brick - 1/3 Pattern, Chevron Pattern, Diagonal Pattern, Double Herringbone Pattern, Herringbone Pattern, Random Pattern, Square Basket Pattern, Straight Pattern",https://www.orientbell.com/dgvt-poplar-beige-025617256670218031m,https://images.orientbell.com/media/catalog/product/d/g/dgvt-poplar-beige-1.jpg,2025-01-03 00:25:38,../Backend/images_final/dgvt_poplar_beige.jpg
odg-unisquare-brown-lt,"ODG Unisquare Brown LT is a ceramic tile with cement design It features a glossy finish in 300x600 mm size To enhance the beauty of your home and add a touch of that “classy” and elegant look that you always desired, ODG Unisquare Brown LT tiles are the best choice. The stunning digital design along with the beautiful glossy finish makes it an ideal choice for the walls of your kitchens and bathrooms. Designing your home with these tiles is not only simple, and cost-effective but also provides lasting benefits for years to come. These tiles are resistant to water damage, moisture, stains, and scratches which is perfect for bathroom and kitchen walls. Another major advantage of these tiles is that it does not attract dust, allergens or pollens which helps in maintaining a healthy and hygienic environment inside the house. It is also very easy to clean these tiles just by following your regular cleaning routine. ODG Unisquare Brown LT ceramic tiles are a one-time investment that will continue to make your home look aesthetically appealing for hundreds of years.",ODG Unisquare Brown LT,Ceramic,Glossy Finish,300x600 mm,84.0,sq.ft,Cement,"Bathroom, Kitchen",6,1.08,sq Decimeter,4,India,"Basketweave Pattern, Brick Pattern, Herringbone Pattern, Straight Pattern",https://www.orientbell.com/odg-unisquare-brown-lt-015005765061034011m,https://images.orientbell.com/media/catalog/product/o/d/odg_unisquare_brown_lt_f3.jpg,2025-01-03 00:25:44,../Backend/images_final/odg_unisquare_brown_lt.jpg
gft-ft-andes-crema,"GFT FT Andes Crema is a ceramic , forever tile with marble design It features a matte finish in 600x600 mm size Orientbell’s GFT FT Andes Crema is an elegant cream colour tile available at Orientbell. It gives an aesthetic look to your space. Resistance to scratch, stains, scratches, acids and chemical spillage are some of the traits of this astonishing tile. Bathroom, kitchen, living room, hospital are some of the places where this tile can be installed. Forever material used in this tile has a highly compressed body with low water absorption. The matte finish of this tile ensures that the aesthetics of your spaces are always top-notch. This tile has a germ-free property that fights against germs and makes the surface clean and hygienic. GFT FT Andes Crema tile is creatively manufactured with porcelain, so you need not worry about any kind of leakage. This floor tile is available in 600x600 mm size and can be laid in multiple patterns. Moreover, the maintenance of this tile is very less time-consuming.",GFT FT Andes Crema,"Ceramic , Forever",Matte Finish,600x600 mm,85.0,sq.ft,Marble,"Bathroom, Living Room, Kitchen, Bedroom, Balcony, Accent, Office, Dining Room, Bar, Restaurant, Hospital, High Traffic, Bar/Restaurant, Commercial/Office, Outdoor Area",4,1.44,sq Decimeter,4,India,-,https://www.orientbell.com/gft-ft-andes-crema,https://images.orientbell.com/media/catalog/product/g/f/gft_ft_andes_crema_f1_germfree_forever_tiles_porcelain_floor_tile_600x600_mm_1.jpg,2025-01-02 23:37:13,../Backend/images_final/gft_ft_andes_crema.jpg
odg-unisquare-brown-dk,"ODG Unisquare Brown DK is a ceramic , digital , dark tile with cement design It features a glossy finish in 300x600 mm size ODG Unisquare Brown DK is one of the most versatile options that can be used for accent walls, backsplashes, and countertops as well. The stunning digital pattern that runs through the entire length of the tile imparts a stylish yet elegant look to your home. You can either use these tiles for the entire walls or club them with other tile designs to create colorful wall concepts. ODG Unisquare Brown DK ceramic tile is not only very durable, but it is also low-maintenance. Since the surface of these do not allow dust, dirt or allergens to penetrate, they can easily be cleaned or mopped away leaving them shining like new. The glossy finish of these tiles will continue to enhance the beauty of your homes with just a little upkeep. They are resistant water or moisture damage and do not dent or scratch easily making them ideal for your kitchen and bathroom walls. ODG Unisquare Brown DK tile is an amazing pick for beautifying the walls of your home.",ODG Unisquare Brown DK,"Ceramic , Digital , Dark",Glossy Finish,300x600 mm,84.0,sq.ft,Cement,"Bathroom, Kitchen",6,1.08,sq Decimeter,4,India,"Basketweave Pattern, Brick Pattern, Herringbone Pattern, Straight Pattern",https://www.orientbell.com/odg-unisquare-brown-dk-015005765061033011m,https://images.orientbell.com/media/catalog/product/o/d/odg_unisquare_brown_dk_f1.jpg,2025-01-03 00:25:50,../Backend/images_final/odg_unisquare_brown_dk.jpg
odm-jagna-grey-light,"ODM Jagna Grey Light is a ceramic tile with cement design It features a matte finish in 300x600 mm size While decorating the walls of your homes, you can never go wrong with greys. ODM Jagna Grey Light ceramic tiles are the perfect choice to give a“classy” and polished look to your home. The natural/matt finish of these tiles will continue to add to the beauty and elegance of your place for years to come. They are resistant to water, moisture, stains, and scratches making them ideal for areas like the bathroom, kitchen, and dining rooms. They are extremely durable and can last for a lifetime without the need of spending any extra money on its maintenance. You can clean the tiles easily just by wiping it with the help of mild detergent and a soft cloth. Ceramic tiles are also resistant to insects, rots, allergens, and dust and thus a healthier tile option for your home. Enjoy timeless finish and aesthetics along with modern designs by installing ODM Jagna Grey Light in different areas of your home.",ODM Jagna Grey Light,Ceramic,Matte Finish,300x600 mm,84.0,sq.ft,Cement,"Bathroom, Kitchen, Dining Room",6,1.08,sq Decimeter,4,India,"Basketweave Pattern, Brick Pattern, Herringbone Pattern, Straight Pattern",https://www.orientbell.com/odm-jagna-grey-light-015005754001669011m,https://images.orientbell.com/media/catalog/product/o/d/odm-jagna-grey-light-f.jpg,2025-01-03 00:26:01,../Backend/images_final/odm_jagna_grey_light.jpg
